I, [2017-12-29T16:41:35.148483 #16219]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2017-12-29T16:41:35.148879 #16219] ERROR -- Kitchen: ------Exception-------
E, [2017-12-29T16:41:35.148962 #16219] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-12-29T16:41:35.148980 #16219] ERROR -- Kitchen: Message: Kitchen YAML file /Users/aro40/Sites/chef-sandbox/cookbooks/.kitchen.yml does not exist.
E, [2017-12-29T16:41:35.148994 #16219] ERROR -- Kitchen: ----------------------
E, [2017-12-29T16:41:35.149005 #16219] ERROR -- Kitchen: ------Backtrace-------
E, [2017-12-29T16:41:35.149017 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2017-12-29T16:41:35.149033 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2017-12-29T16:41:35.149045 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2017-12-29T16:41:35.149057 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-12-29T16:41:35.149068 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-12-29T16:41:35.149079 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2017-12-29T16:41:35.149090 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-12-29T16:41:35.149102 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-12-29T16:41:35.149113 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-12-29T16:41:35.149124 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-12-29T16:41:35.149135 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2017-12-29T16:41:35.149147 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2017-12-29T16:41:35.149158 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2017-12-29T16:41:35.149170 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-12-29T16:41:35.149181 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-12-29T16:41:35.149193 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-12-29T16:41:35.149204 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-12-29T16:41:35.149219 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-12-29T16:41:35.149230 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-12-29T16:41:35.149241 #16219] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2017-12-29T16:41:35.149252 #16219] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `load'
E, [2017-12-29T16:41:35.149263 #16219] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `<main>'
E, [2017-12-29T16:41:35.149273 #16219] ERROR -- Kitchen: ----End Backtrace-----
